Config,E[R],Win Rate,Avg Hold,Max Hold %,Big Losses,Trades
Baseline (no recheck),1.8720797868321828,39.07232704402516,14.85377358490566,22.48427672955975,351,1272
R1: Score < 70 + profit → SELL,0.13399636552387628,77.12264150943396,2.1037735849056602,0.0,153,1272
R2: Score drop > 20 → TRAILING,1.8720797868321828,39.07232704402516,14.85377358490566,22.48427672955975,351,1272
R3: Regime BULL→BEAR → TRAILING,1.8720797868321828,39.07232704402516,14.85377358490566,22.48427672955975,351,1272
R4: Regime flip + profit → SELL,1.8720797868321828,39.07232704402516,14.85377358490566,22.48427672955975,351,1272
R5: Sector weak + profit > 2% → TRAILING,1.8717779750970034,42.68867924528302,13.970911949685535,18.553459119496853,327,1272
R6: VIX spike > +5 + profit → TRAILING,1.7815046044978704,41.35220125786164,14.171383647798741,19.49685534591195,343,1272
R7: Signal invalid + profit → SELL,1.6587562608567614,39.46540880503145,13.80188679245283,12.028301886792454,348,1272
R8: RSI > 70 + profit > 2% → SELL,1.3200023188236338,40.88050314465409,12.41430817610063,7.9402515723270435,346,1272
R9: Momentum < -2% + profit → TRAILING,1.5830409563438534,48.03459119496855,12.48191823899371,11.084905660377359,288,1272
Combined: Conservative (R3+R5+R8),1.4269314054422666,44.10377358490566,11.93632075471698,6.839622641509433,323,1272
Combined: Aggressive (R1+R4+R7+R8),0.13399636552387628,77.12264150943396,2.1037735849056602,0.0,153,1272
Combined: Balanced (R2+R3+R6+R9),1.5528371427505205,49.13522012578616,12.154874213836479,10.062893081761008,287,1272
Smart Exit: All Profit Protection,0.13399636552387628,77.12264150943396,2.1037735849056602,0.0,153,1272
