symbol,entry_price,original_exit,original_return,new_exit,new_return,max_return,reason
SCCO,147.17999267578125,170.52000427246094,15.858141566900846,165.947601776123,12.751467614001319,16.238626406186953,TRAILING_STOP_NEW
PATH,16.700000762939453,16.31999969482422,-2.275455393741841,17.401800518035888,4.202393551106085,7.425147990831022,TRAILING_STOP_NEW
ILMN,137.60000610351562,141.07000732421875,2.521803100860813,146.79979644775386,6.68589384895615,9.985457576243483,TRAILING_STOP_NEW
TSLA,488.7300109863281,445.010009765625,-8.945634652652048,478.87678710937496,-2.0160873397293386,2.066575687781948,TRAILING_STOP_NEW
MU,276.4783020019531,345.0899963378906,24.81630342747577,335.9109881591797,21.496329269559354,25.253947700576656,TRAILING_STOP_NEW
LRCX,175.25999450683594,218.3600006103516,24.59203894465176,213.0022964477539,21.535035446692227,25.293850975971367,TRAILING_STOP_NEW
SNPS,481.239990234375,525.1799926757812,9.130580029312704,513.0523834228516,6.610504911070087,9.907737021721738,TRAILING_STOP_NEW
ADI,275.82000732421875,300.92999267578125,9.103757771294092,294.1040118408203,6.62896237802982,9.926765338175075,TRAILING_STOP_NEW
TXN,178.82000732421875,190.30999755859372,6.425450041248733,187.13239822387692,4.648468045629237,7.8850186037415,TRAILING_STOP_NEW
ILMN,134.9199981689453,141.07000732421875,4.558263592304875,146.7997964477539,8.80506851470071,12.17017372649559,TRAILING_STOP_NEW
GOOGL,320.2099914550781,328.57000732421875,2.610791696771099,317.596787109375,-0.8160908202234353,3.31657206226726,TRAILING_STOP_NEW
MU,263.6034851074219,345.0899963378906,30.91253182683148,335.9109881591797,27.43040480754325,31.37155134798273,TRAILING_STOP_NEW
AAPL,278.7799987792969,259.0400085449219,-7.080848812974798,280.165720106119,0.49706626475709853,0.8465513593064437,TRAILING_STOP_NEW
MU,237.12420654296875,327.0199890136719,37.91084165606404,335.9109881591797,41.660353051433404,46.04160108395197,TRAILING_STOP_NEW
AVGO,389.4947509765625,332.4800109863281,-14.638127945828256,401.4036420059804,3.0575228548162077,6.244868922490942,TRAILING_STOP_NEW
LRCX,158.6999969482422,200.9600067138672,26.628866148880597,204.1364970397949,28.63043539085335,32.60869627923027,TRAILING_STOP_NEW
SCCO,134.75999450683594,148.69000244140625,10.336901530419466,147.62430236816405,9.546088146119322,12.934111490844668,TRAILING_STOP_NEW
GOOGL,314.6841735839844,315.1499938964844,0.1480278805237339,310.030796295459,-1.4787452560856014,2.6263070249108424,TRAILING_STOP_NEW
AMZN,233.8800048828125,226.5,-3.155466362552161,229.41120117187498,-1.9107249947154108,2.17632813050479,TRAILING_STOP_NEW
AVGO,385.3426818847656,347.6199951171875,-9.78938709386438,401.4036420059804,4.167968116757354,7.389657852327175,TRAILING_STOP_NEW
AMAT,254.75,268.8699951171875,5.542686993989205,267.81700592041017,5.12934481664776,8.38076785221418,TRAILING_STOP_NEW
AAPL,276.9700012207031,273.760009765625,-1.1589671953390537,277.07519531250006,0.0379803196495306,4.206229499634906,TRAILING_STOP_NEW
AVGO,384.2947082519531,349.3900146484375,-9.082793193350778,401.40364200598043,4.452034698018862,7.68250999795758,TRAILING_STOP_NEW
LRCX,151.68028259277344,175.8699951171875,15.947829283360356,174.4060029602051,14.982646378926498,18.53881069992422,TRAILING_STOP_NEW
AMAT,242.4600067138672,263.04998779296875,8.492114373072788,267.81700592041017,10.458219295715592,13.874452882181018,TRAILING_STOP_NEW
KLAC,1145.8900146484375,1260.3900146484375,9.992232983645376,1248.2057568359376,8.928932173206068,12.297868219800066,TRAILING_STOP_NEW
ILMN,119.26000213623048,135.32000732421875,13.466380094176897,134.6360029602051,12.892839634876616,16.38437075760475,TRAILING_STOP_NEW
GOOGL,289.26080322265625,314.0899963378906,8.583670113133959,318.75658634995494,10.196951262903928,13.605104394746329,TRAILING_STOP_NEW
ARWR,40.150001525878906,68.16000366210938,69.76338996693802,70.189200592041,74.81742945090592,80.2241540730989,TRAILING_STOP_NEW
GOOGL,284.83367919921875,307.1600036621094,7.838372388285979,318.75658634995494,11.90972473694369,15.37085024427186,TRAILING_STOP_NEW
ARWR,39.84999847412109,70.08999633789062,75.88456467170916,70.189200592041,76.13350885727748,81.58093696626544,TRAILING_STOP_NEW
AAPL,269.42999267578125,278.2799987792969,3.2847145247727805,279.9613952636719,3.9087714338334987,7.122444777147936,TRAILING_STOP_NEW
NVDA,199.03892517089844,175.02000427246094,-12.067449056919102,200.0345903708693,0.5002364231599231,0.4471235247441802,TRAILING_STOP_NEW
INTC,38.45000076293945,37.810001373291016,-1.664497729387068,42.69940044403076,11.051754477953471,14.486344822632455,TRAILING_STOP_NEW
AVGO,357.7055969238281,359.2426147460937,0.4296879432369984,401.4036420059804,12.216203900062979,15.68680814439483,TRAILING_STOP_NEW
AMAT,234.6201019287109,259.2099914550781,10.480725787869105,267.81700592041017,14.149215569681282,17.679603680083776,TRAILING_STOP_NEW
KLAC,1215.909912109375,1193.9200439453125,-1.808511300472435,1203.551953125,-1.016354818831628,3.107963730383725,TRAILING_STOP_NEW
SNOW,268.510009765625,217.92999267578125,-18.837292931460414,264.8351953125,-1.3685949571610583,2.741046919623901,TRAILING_STOP_NEW
TSM,294.4750061035156,292.0400085449219,-0.8268944759738913,303.74064065789753,3.146492694570076,6.336590406773281,TRAILING_STOP_NEW
MRVL,93.16297149658205,84.36929321289062,-9.439027268482985,99.61521800176848,6.925762887912132,10.232745245270245,TRAILING_STOP_NEW
ARWR,40.310001373291016,68.83000183105469,70.75167324767378,69.355,72.05407501165182,77.37533506355857,TRAILING_STOP_NEW
SCCO,133.96600341796875,140.39999389648438,4.802703905737804,139.92249999999999,4.446274748860871,7.676571906042145,TRAILING_STOP_NEW
AMAT,240.41873168945312,267.1400146484375,11.114476301913127,265.3822964477539,10.383369291934375,13.797287929829254,TRAILING_STOP_NEW
KLAC,1225.0445556640625,1225.6099853515625,0.0461558467311008,1231.010677141034,0.4870126110423305,1.4167214302333748,TRAILING_STOP_NEW
DDOG,154.97999572753906,152.57000732421875,-1.5550319200919112,195.63930236816407,26.23519664570495,30.139377985262836,TRAILING_STOP_NEW
ASML,1043.75,1111.43994140625,6.485263847305389,1107.4683715820313,6.104754163547908,9.386344498502991,TRAILING_STOP_NEW
MRVL,92.8332061767578,88.8360824584961,-4.305704696497338,99.61521800176844,7.305588274197322,10.624317808450863,TRAILING_STOP_NEW
