symbol,sector,regime,return_20d,return_5d,rsi,price_vs_ma10,price_vs_ma20,volatility,current_price,ma_10,ma_20
XLF,Financials,BULL,2.6357147396450005,-1.7225894354172706,61.17194162982833,-0.5644006804707613,0.5032904062721062,0.6537318114561369,54.77000045776367,55.08087730407715,54.49572868347168
XLC,Communications,BULL,2.580652195534206,-0.31331622377972973,65.33889029500645,0.47073800229391227,0.9485514303064706,0.48564054761027425,117.72000122070312,117.16844482421875,116.61385879516601
XLB,Materials,BULL,2.447683579284597,-1.068939085592769,58.51294309311631,-0.37848822001347227,1.0853961969617334,0.8421827365491352,45.349998474121094,45.522294998168945,44.86305656433105
XLI,Industrials,SIDEWAYS,0.9346184117235719,-1.5111142113095237,52.06905214699019,-0.5320011527627615,-0.21930819533439266,0.797410294186195,155.1199951171875,155.94964904785155,155.46093368530273
XLV,Healthcare,SIDEWAYS,0.24452020690840237,-0.6418485111760834,50.06012188551254,-0.07153990580538394,0.6441315969421464,0.7704061354944807,154.8000030517578,154.91082611083985,153.80926895141602
XLY,Consumer Discretionary,SIDEWAYS,0.1269042433690342,-2.5940066651248967,48.30324186017875,-1.6196465477365778,-0.9005785830331117,0.7952434664549082,119.41000366210938,121.37586364746093,120.49515724182129
SPY,S&P 500 (Market),SIDEWAYS,0.006579040412494197,-1.2254152659146442,48.069060351184554,-0.22750027089531288,-0.10943049347809268,0.557284611262075,681.9199829101562,683.4748901367187,682.6670288085937
XLK,Technology,SIDEWAYS,-0.5563131791406851,-1.5926191267613183,46.89397934746084,-0.30299897182908914,-0.7068294911456282,1.1471860821208668,143.97000122070312,144.40755462646484,144.99486770629883
XLP,Consumer Staples,SIDEWAYS,-0.6682717129039396,-0.5632391525043838,44.7382689991067,-0.6114311321253604,-0.5515226149042275,0.49667082237214044,77.68000030517578,78.15788192749024,78.11079902648926
XLRE,Real Estate,SIDEWAYS,-0.6793703054556013,-0.2225523136601918,44.72345363816612,0.06049030492571953,0.03266580045221462,0.49581625594359313,40.349998474121094,40.325605392456055,40.3368221282959
XLE,Energy,SIDEWAYS,-1.7943531781147044,0.7662838872496858,45.156150545829014,0.8150188690041072,-0.1282939125133012,1.133482346769474,44.709999084472656,44.34855003356934,44.76743297576904
XLU,Utilities,SIDEWAYS,-1.8040497604269932,-0.28031474592967537,40.75508962647333,0.022503646005374432,-0.10973763559063879,0.6603384630140462,42.689998626708984,42.68039398193359,42.73689708709717
